ID,Latitude,Longitude,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,NMF_10,SEX,AGE,DIPLOMA,PRO_CAT,NBPERS_HOUSE,NB_10,NB_11_17,NB_18_24,NB_25_64,NB_65,PMR,DRIVING_LICENCE,NB_CAR,TWO_WHEELER,BIKE,ELECT_SCOOTER,NAVIGO_SUB,IMAGINER_SUB,OTHER_SUB_PT,BIKE_SUB,NSM_SUB,CODGEO
3_2195,48.7389484253,2.2275013053,0.0,0.0002592838592748,0.1967437978822747,0.0,0.6342900908515637,3.3953694429065657,0.1634401205574676,0.0602642869153211,0.7398103546272782,0.0032495414731247,0.0,18.0,1.0,7.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,93033.0
3_2195,48.7438423159,2.2275013053,0.0,0.0002592838592748,0.1967437978822747,0.0,0.6342900908515637,3.3953694429065657,0.1634401205574676,0.0602642869153211,0.7398103546272782,0.0032495414731247,0.0,18.0,1.0,7.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,93033.0
3_2195,48.7487362065,2.2275013053,0.0,0.0002592838592748,0.1967437978822747,0.0,0.6342900908515637,3.3953694429065657,0.1634401205574676,0.0602642869153211,0.7398103546272782,0.0032495414731247,0.0,18.0,1.0,7.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,93033.0
3_2195,48.7536300971,2.2275013053,0.0,0.0002592838592748,0.1967437978822747,0.0,0.6342900908515637,3.3953694429065657,0.1634401205574676,0.0602642869153211,0.7398103546272782,0.0032495414731247,0.0,18.0,1.0,7.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,93033.0
3_2195,48.7585239877,2.2275013053,0.0,0.0002592838592748,0.1967437978822747,0.0,0.6342900908515637,3.3953694429065657,0.1634401205574676,0.0602642869153211,0.7398103546272782,0.0032495414731247,0.0,18.0,1.0,7.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,93033.0
3_2195,48.7634178783,2.2275013053,0.0,0.0002592838592748,0.1967437978822747,0.0,0.6342900908515637,3.3953694429065657,0.1634401205574676,0.0602642869153211,0.7398103546272782,0.0032495414731247,0.0,18.0,1.0,7.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,93033.0
3_2195,48.7683117689,2.2275013053,0.0,0.0002592838592748,0.1967437978822747,0.0,0.6342900908515637,3.3953694429065657,0.1634401205574676,0.0602642869153211,0.7398103546272782,0.0032495414731247,0.0,18.0,1.0,7.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,93033.0
3_2195,48.7732056595,2.2275013053,0.0,0.0002592838592748,0.1967437978822747,0.0,0.6342900908515637,3.3953694429065657,0.1634401205574676,0.0602642869153211,0.7398103546272782,0.0032495414731247,0.0,18.0,1.0,7.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,93033.0
3_2195,48.7780995501,2.2275013053,0.0,0.0002592838592748,0.1967437978822747,0.0,0.6342900908515637,3.3953694429065657,0.1634401205574676,0.0602642869153211,0.7398103546272782,0.0032495414731247,0.0,18.0,1.0,7.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,93033.0
3_2195,48.7829934407,2.2275013053,0.0,0.0002592838592748,0.1967437978822747,0.0,0.6342900908515637,3.3953694429065657,0.1634401205574676,0.0602642869153211,0.7398103546272782,0.0032495414731247,0.0,18.0,1.0,7.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,93033.0
